Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,Return/Average,Return/Std,Return/Median,Return/Min,Return/Max,NonzeroRewards/Average,NonzeroRewards/Std,NonzeroRewards/Median,NonzeroRewards/Min,NonzeroRewards/Max,DiscountedReturn/Average,DiscountedReturn/Std,DiscountedReturn/Median,DiscountedReturn/Min,DiscountedReturn/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,grad_norm_model/Average,grad_norm_model/Std,grad_norm_model/Median,grad_norm_model/Min,grad_norm_model/Max,grad_norm_actor/Average,grad_norm_actor/Std,grad_norm_actor/Median,grad_norm_actor/Min,grad_norm_actor/Max,grad_norm_value/Average,grad_norm_value/Std,grad_norm_value/Median,grad_norm_value/Min,grad_norm_value/Max,model_loss/Average,model_loss/Std,model_loss/Median,model_loss/Min,model_loss/Max,actor_loss/Average,actor_loss/Std,actor_loss/Median,actor_loss/Min,actor_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,prior_entropy/Average,prior_entropy/Std,prior_entropy/Median,prior_entropy/Min,prior_entropy/Max,post_entropy/Average,post_entropy/Std,post_entropy/Median,post_entropy/Min,post_entropy/Max,divergence/Average,divergence/Std,divergence/Median,divergence/Min,divergence/Max,reward_loss/Average,reward_loss/Std,reward_loss/Median,reward_loss/Min,reward_loss/Max,image_loss/Average,image_loss/Std,image_loss/Median,image_loss/Min,image_loss/Max,pcont_loss/Average,pcont_loss/Std,pcont_loss/Median,pcont_loss/Min,pcont_loss/Max
2,1000,999,3.4669840335845947,1000,2,0,288.4351327589118,0.0,0.0,0.0,500.0,0.0,500.0,500,500,7.85413651586086,0.671133770537077,7.85413651586086,7.183002745323783,8.525270286397937,127.0,10.0,127.0,117,137,0.6956226786149677,0.15726073048688688,0.6956226786149677,0.5383619481280809,0.8528834091018547,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,2000,1999,6.935077667236328,2000,4,0,288.3428493097082,0.0,0.0,0.0,500.0,0.0,500.0,500,500,10.309581450760852,3.017603714564189,9.451098068903274,7.183002745323783,15.153126919913081,158.5,34.70230539892127,154.5,117,208,1.0484830468868578,0.4278892817961757,0.9751046470829551,0.5383619481280809,1.7053609452534402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,3000,2999,10.403396368026733,3000,6,0,288.32413808226653,0.0,0.0,0.0,500.0,0.0,500.0,500,500,10.858308749467644,3.460173457270887,9.451098068903274,7.183002745323783,15.943234577727459,168.66666666666666,43.3192284736877,155.0,117,240,1.589045012299227,0.8519405544602392,1.4013434151587478,0.5383619481280809,2.910972222476771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,4000,3999,13.863185405731201,4000,8,0,289.0349640114153,0.0,0.0,0.0,500.0,0.0,500.0,500,500,13.79731541658898,6.682382961757467,12.765026385660846,7.183002745323783,28.862970857353822,190.375,64.87475915176873,176.5,117,330,2.1595258527013073,1.2447894918427946,2.0673633045123,0.5383619481280809,4.210401312522151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,5000,4999,17.345736265182495,5000,10,0,287.14584233166335,0.0,0.0,0.0,500.0,0.0,500.0,500,500,14.498395158147087,7.63257346577378,12.765026385660846,7.162020643095298,28.862970857353822,194.1,69.04556466566119,176.5,117,330,2.06459908105427,1.1390439721456795,1.8601116941159943,0.5383619481280809,4.210401312522151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,6000,5999,105.72537541389465,6000,12,0,11.31482329677029,0.0,0.0,0.0,500.0,0.0,500.0,500,500,14.108592528421775,7.375642850272937,12.765026385660846,6.631345170547128,28.862970857353822,195.08333333333334,66.41593475129962,176.5,117,330,2.124397202232139,1.0868596678923363,1.8679829482033248,0.5383619481280809,4.210401312522151,11359.818564453126,84.80410225177695,11325.88427734375,11313.720703125,11719.7744140625,266.5236456298828,431.2592026229008,85.35363388061523,9.000225067138672,2031.221435546875,0.03378904046490788,0.03770578234848793,0.015979900024831295,0.009222378954291344,0.1544247269630432,0.298839392401278,0.13464800550683648,0.2851640582084656,0.03246216103434563,0.7550652027130127,11359.60396484375,84.56478492524741,11325.505859375,11314.6748046875,11719.005859375,-0.6687546476349234,0.48639817809611335,-0.5045045018196106,-1.8978309631347656,0.1298081874847412,0.8833454889059067,0.018217075598299288,0.8798187673091888,0.8634999990463257,1.0248476266860962,36.419256896972655,0.39451990339481374,36.29068183898926,35.64384460449219,37.578697204589844,35.20478897094726,1.0672002881810485,34.91449737548828,33.924896240234375,39.709346771240234,3.00405739068985,0.04037052763833966,3.0,3.0,3.4057390689849854,0.9205567836761475,0.0005559949118631736,0.920522153377533,0.9196139574050903,0.9225715398788452,11355.679326171876,84.55033465371149,11321.58544921875,11310.7548828125,11715.0849609375,0.0,0.0,0.0,0.0,0.0
2,7000,6999,194.24797224998474,7000,14,0,11.296550663234797,0.0,0.0,0.0,500.0,0.0,500.0,500,500,14.825673180633038,7.067688743578334,15.54818074882027,6.631345170547128,28.862970857353822,205.21428571428572,67.40196963148837,194.5,117,330,2.252451597019596,1.060178824369117,2.2221140533748542,0.5383619481280809,4.210401312522151,11311.365009765625,2.292105202391684,11312.16845703125,11306.23046875,11314.49609375,23.951137094497682,14.727218337310674,19.08622646331787,4.925764083862305,58.60293960571289,1.7684764944016933,1.5919935026661227,0.778438925743103,0.15681985020637512,5.096902847290039,3.4643349695205687,3.2227013222159258,2.4179158210754395,0.09550131112337112,11.52422046661377,11313.250498046875,0.9524876148189615,11313.271484375,11311.4697265625,11315.298828125,-3.1425863184034823,2.3597112943006837,-2.5491799116134644,-7.928378105163574,-0.10431011766195297,1.2571644115447997,0.37296998471514897,1.1527571082115173,0.8771525025367737,2.128709077835083,36.31036769866943,0.014545772652297864,36.30949401855469,36.27693557739258,36.34901809692383,32.78059951782227,0.9061167713985977,32.99482727050781,30.472375869750977,33.89595031738281,3.0,0.0,3.0,3.0,3.0,0.9202932554483414,0.0003773365043666952,0.9202124774456024,0.9196370840072632,0.9212809205055237,11309.330234375,0.9523922536388354,11309.35107421875,11307.5498046875,11311.3779296875,0.0,0.0,0.0,0.0,0.0
2,8000,7999,282.9382026195526,8000,16,0,11.27519903638821,0.0,0.0,0.0,500.0,0.0,500.0,500,500,15.402267994551549,6.792753598782066,16.15446727813981,6.631345170547128,28.862970857353822,206.0625,63.09265879442711,209.0,117,330,2.326415237305423,1.0109680764129974,2.5737795691579617,0.5383619481280809,4.210401312522151,11310.875205078126,0.8013322263116008,11310.90087890625,11309.0791015625,11312.8974609375,31.688156418800354,18.547310876291576,29.68456268310547,6.653340816497803,79.31798553466797,0.49940377593040464,0.39152944502002984,0.3579792231321335,0.18741439282894135,1.8887280225753784,0.4303739620745182,0.1758229268811401,0.39306068420410156,0.19317038357257843,1.011455774307251,11311.101455078126,0.7376882525553876,11311.14794921875,11309.486328125,11312.7587890625,-1.1702388322353363,0.10267974412737574,-1.1908360719680786,-1.3689305782318115,-0.7738445997238159,0.9439584994316101,0.04927880944428544,0.9267309606075287,0.8947861194610596,1.108628749847412,33.651767063140866,2.062646021555481,33.5018424987793,26.807384490966797,36.343910217285156,30.80314317703247,1.7948290948044492,31.0780611038208,24.674060821533203,33.32368469238281,3.011538348197937,0.07221121333708884,3.0,3.0,3.588710069656372,0.920332350730896,0.0004066314166656707,0.9202539622783661,0.9194214344024658,0.9213321805000305,11307.16962890625,0.7264877904402892,11307.22705078125,11305.56640625,11308.8388671875,0.0,0.0,0.0,0.0,0.0
2,9000,8999,371.86962842941284,9000,18,0,11.244618995967176,0.0,0.0,0.0,500.0,0.0,500.0,500,500,15.695740430198164,7.245416868402462,16.15446727813981,6.631345170547128,28.862970857353822,203.88888888888889,63.43666035143409,209.0,117,330,2.3333299007844985,1.160748636705099,2.5737795691579617,0.4021572234444941,4.375137193789708,11309.50689453125,0.8002112207523668,11309.42431640625,11307.3310546875,11311.3349609375,27.180944156646728,15.83629571244808,21.72842502593994,6.683730125427246,69.48174285888672,0.17172149956226349,0.021972751825595795,0.16900061070919037,0.1287638247013092,0.23002766072750092,0.3214516837894916,0.0919852529498574,0.3049858808517456,0.12521035969257355,0.5475450158119202,11310.225927734375,0.7305061844806124,11310.17236328125,11308.1767578125,11311.8759765625,-1.6182673251628876,0.1665009777009385,-1.6653282046318054,-1.909739375114441,-1.3107928037643433,0.8992988401651383,0.005662901287702818,0.8993981778621674,0.8872579336166382,0.9149153232574463,32.854732513427734,0.6483720688772195,32.95686340332031,31.21837615966797,34.078155517578125,29.63294897079468,1.6608577179598316,29.87326431274414,25.790191650390625,31.9050350189209,3.0014969372749327,0.014894337826948156,3.0,3.0,3.149693727493286,0.920411120057106,0.00043438796705986453,0.9203974008560181,0.9194098711013794,0.9215908050537109,11306.30400390625,0.731222188045744,11306.251953125,11304.255859375,11307.955078125,0.0,0.0,0.0,0.0,0.0
2,10000,9999,461.23314476013184,10000,20,0,11.190249008322056,0.0,0.0,0.0,500.0,0.0,500.0,500,500,17.967023972568406,9.742018987632333,17.026756783797737,6.631345170547128,41.91843988199879,219.9,77.01616713392065,212.0,117,369,2.9799869568761603,2.3027426102212787,2.7574974115272455,0.4021572234444941,10.60691938063646,11307.996298828126,0.9796297562661264,11307.826171875,11306.17578125,11310.3740234375,30.314328031539915,19.82000493540782,23.42413902282715,8.780742645263672,105.12884521484375,0.17394425883889197,0.03219549018197497,0.1705317348241806,0.12484835088253021,0.27641454339027405,0.33675275929272175,0.13622259665425202,0.32652464509010315,0.10827634483575821,0.7521341443061829,11309.529453125,0.8214379570181941,11309.390625,11307.994140625,11311.4892578125,-2.4392044389247896,0.2720861471516962,-2.465703248977661,-3.0250167846679688,-1.9010483026504517,0.9059918212890625,0.006151818308710866,0.9048811495304108,0.8926644325256348,0.9281656742095947,30.334173316955567,1.360637212256656,30.917131423950195,27.7984561920166,32.30255889892578,27.431840553283692,1.439069799887548,27.654250144958496,23.72164535522461,30.209400177001953,3.0004300236701966,0.00427868149504031,3.0,3.0,3.0430023670196533,0.9205129861831665,0.0004378087974013922,0.9204739034175873,0.9197784066200256,0.9218351244926453,11305.60849609375,0.8212340840230077,11305.4697265625,11304.0732421875,11307.568359375,0.0,0.0,0.0,0.0,0.0
